audit_id,topic,released_behavior,evidence,status,recommended_handling
A01,sparse preprocessing,"CSR/CSC is converted to a full dense array before feature selection; raw and normalized copies coexist",data_utils.py:38-73; D11_smoke/stage_profile.csv,CONFIRMED,"Report actual CPU RSS; keep sparse-safe work as diagnostic_variant"
A02,Transformer attention,"Each cell is unsqueezed to sequence length 1; changing another cell does not change the target encoder output",model.py:125-140; tensor_shapes.json; attention_dependency_test.csv,CONFIRMED,"Do not claim inter-cell self-attention"
A03,KNN graph,"Dense BxB cosine similarity and graph are built within the current mini-batch; adjacency is symmetrized but not row-normalized",model.py:32-48; batch_local_graph_dependency.json,CONFIRMED,"Report batch-size/order sensitivity; label global graph work diagnostic_variant"
A04,alpha parameter,"alpha is created inside encode_relation after optimizer construction and recreated every call; it is absent from optimizer",model.py:50-67; parameter_registration_summary.json,CONFIRMED,"Correct Methods or test an isolated bug_fix_candidate"
A05,anchor initialization,"FAISS KMeans is called with gpu=True before warm-up and uses only the first two shuffled batches; installed faiss-cpu silently returns IndexFlatIP",model.py:19-29; engine.py:16-42; GARQ.py:42-73; faiss_backend.json,CONFIRMED,"Report backend and sample count; test post-warm-up/all-data diagnostic"
A06,dynamic anchor,"All anchors are scheduled for continuous usage-weighted repositioning every training forward; local branch starts when usage sum plus 1e-4 reaches 1; no anchor is created",model.py:82-114; anchor_dynamics_step.csv,CONFIRMED,"Avoid underused/overused threshold and split/create wording"
A07,graph scale,"Smoothing uses unnormalized symmetric adjacency so contribution magnitude changes with graph degree and k",model.py:32-61,CONFIRMED,"Add k sensitivity and normalized-adjacency diagnostic"
A08,metacell scale,"Aggregation averages the adata_ copy made after normalize_total and log1p but before HVG selection/scaling; it is not raw counts",data_utils.py:38-73; data_utils.py:124-161; D5_smoke/metacell_output_scale.json; D11_smoke/metacell_output_scale.json,CONFIRMED,"Correct output description and explicitly label log-normalized scale"
A09,environment,"README says sklearn 0.22.1 while requirement.ymal and actual env use scikit-learn 1.1.3; requirement file embeds an absolute environment prefix",README.md; requirement.ymal,CONFIRMED,"Export a portable lock/spec and state tested versions"
A10,reproduction assets,"Repository lacks paper/Supplementary/reviewer files and scripts/configs/logs for all published figures and baselines",repository file inventory; SOURCE_TRACEABILITY.md,CONFIRMED,"Mark published parameters NOT_RECOVERED; never infer original values"
