path,phase1_dataset_label,authoritative_dataset_id,validity_status,reason,reusable_for_code_audit,reusable_for_biological_claim,required_action
revision_exp/configs/anchor_multiseed/e4_D11_legacy_continuous_seed1.yaml,D11,D11,INVALID_FOR_MANUSCRIPT_DATASET_ID,Phase 1 registry used a dataset with conflicting accession/shape.,false,false,Retain for provenance; exclude from Phase 2 biological summaries and manuscript claims.
revision_exp/configs/anchor_multiseed/e4_D11_legacy_continuous_seed2.yaml,D11,D11,INVALID_FOR_MANUSCRIPT_DATASET_ID,Phase 1 registry used a dataset with conflicting accession/shape.,false,false,Retain for provenance; exclude from Phase 2 biological summaries and manuscript claims.
revision_exp/configs/anchor_multiseed/e4_D11_legacy_continuous_seed3.yaml,D11,D11,INVALID_FOR_MANUSCRIPT_DATASET_ID,Phase 1 registry used a dataset with conflicting accession/shape.,false,false,Retain for provenance; exclude from Phase 2 biological summaries and manuscript claims.
revision_exp/configs/anchor_multiseed/e4_D11_legacy_continuous_seed4.yaml,D11,D11,INVALID_FOR_MANUSCRIPT_DATASET_ID,Phase 1 registry used a dataset with conflicting accession/shape.,false,false,Retain for provenance; exclude from Phase 2 biological summaries and manuscript claims.
revision_exp/configs/anchor_multiseed/e4_D11_no_manual_reposition_seed1.yaml,D11,D11,INVALID_FOR_MANUSCRIPT_DATASET_ID,Phase 1 registry used a dataset with conflicting accession/shape.,false,false,Retain for provenance; exclude from Phase 2 biological summaries and manuscript claims.
revision_exp/configs/anchor_multiseed/e4_D11_no_manual_reposition_seed2.yaml,D11,D11,INVALID_FOR_MANUSCRIPT_DATASET_ID,Phase 1 registry used a dataset with conflicting accession/shape.,false,false,Retain for provenance; exclude from Phase 2 biological summaries and manuscript claims.
revision_exp/configs/anchor_multiseed/e4_D11_no_manual_reposition_seed3.yaml,D11,D11,INVALID_FOR_MANUSCRIPT_DATASET_ID,Phase 1 registry used a dataset with conflicting accession/shape.,false,false,Retain for provenance; exclude from Phase 2 biological summaries and manuscript claims.
revision_exp/configs/anchor_multiseed/e4_D11_no_manual_reposition_seed4.yaml,D11,D11,INVALID_FOR_MANUSCRIPT_DATASET_ID,Phase 1 registry used a dataset with conflicting accession/shape.,false,false,Retain for provenance; exclude from Phase 2 biological summaries and manuscript claims.
revision_exp/configs/anchor_multiseed/e4_D11_reposition_interval10_seed1.yaml,D11,D11,INVALID_FOR_MANUSCRIPT_DATASET_ID,Phase 1 registry used a dataset with conflicting accession/shape.,false,false,Retain for provenance; exclude from Phase 2 biological summaries and manuscript claims.
revision_exp/configs/anchor_multiseed/e4_D11_reposition_interval10_seed2.yaml,D11,D11,INVALID_FOR_MANUSCRIPT_DATASET_ID,Phase 1 registry used a dataset with conflicting accession/shape.,false,false,Retain for provenance; exclude from Phase 2 biological summaries and manuscript claims.
